001504,2018/12/03,09:20:41,16:01:51,13:32:48,14:29:42
001504,2018/12/04,09:21:00,20:12:08,13:12:46,NON
001504,2018/12/05,09:14:53,18:32:39,12:47:41,13:43:19
001504,2018/12/06,09:19:05,19:52:00,13:01:47,13:55:42
001504,2018/12/07,09:14:16,17:24:05,13:30:25,15:00:58
001504,2018/12/10,09:14:35,20:18:13,13:40:30,14:37:33
001504,2018/12/11,09:19:13,19:08:19,13:50:34,14:46:45
001504,2018/12/12,09:23:28,19:51:19,13:09:44,14:07:31
001504,2018/12/13,09:14:47,19:12:08,13:06:42,14:03:17
001504,2018/12/17,09:27:14,20:17:24,13:09:23,14:08:50
001504,2018/12/18,09:16:51,20:09:14,13:28:07,14:28:56
001504,2018/12/19,09:20:43,19:56:53,13:13:37,14:12:28
001504,2018/12/20,09:16:16,19:29:13,14:00:21,14:58:15
001504,2018/12/21,09:20:54,19:51:57,13:33:06,14:36:24
001504,2018/12/25,09:18:47,19:49:50,13:53:44,14:53:21
001504,2018/12/26,NON,19:28:51,13:48:49,14:46:42
001504,2018/12/27,09:10:26,NON,13:12:16,14:11:17
001504,2018/12/28,09:18:16,18:57:20,13:44:29,14:43:28
001505,2018/12/03,09:18:06,18:31:42,12:09:25,13:02:48
001505,2018/12/04,09:20:22,18:38:15,12:19:27,13:09:52
001505,2018/12/05,09:17:27,18:31:53,12:07:57,13:01:33
001505,2018/12/06,09:19:14,18:42:16,12:06:52,12:57:21
001505,2018/12/07,09:13:07,17:22:04,12:07:47,13:04:13
001505,2018/12/10,09:14:13,18:41:27,12:09:35,13:04:55
001505,2018/12/11,09:13:47,18:39:31,12:19:27,13:13:47
001505,2018/12/12,09:14:18,18:35:18,12:05:58,12:58:36
001505,2018/12/13,09:13:37,18:40:40,12:01:20,12:53:20
001505,2018/12/14,09:13:39,18:40:07,12:12:45,13:08:40
001505,2018/12/17,09:17:37,19:38:47,12:10:09,13:06:42
001505,2018/12/18,09:18:42,19:04:53,12:18:32,13:17:42
001505,2018/12/19,09:13:24,18:40:20,12:07:48,13:01:49
001505,2018/12/20,09:14:06,18:45:08,12:07:54,12:55:37
001505,2018/12/21,09:15:30,18:55:44,12:16:34,13:08:43
001505,2018/12/25,09:13:48,18:40:59,12:07:23,13:05:22
001505,2018/12/26,09:17:36,18:46:02,12:19:27,13:19:06
001505,2018/12/27,09:14:03,18:39:08,12:13:45,13:05:57
001505,2018/12/28,09:12:01,19:41:36,12:34:54,13:30:59
